Date,Product,Category,Quantity,Price,Region
2025-01-10,Laptop,Electronics,3,65000,South
2025-01-12,Mouse,Accessories,10,500,North
2025-02-05,Keyboard,Accessories,7,1500,East
2025-02-15,Laptop,Electronics,2,65000,West
2025-03-01,Monitor,Electronics,5,12000,South
2025-03-10,Mouse,Accessories,15,500,East
2025-04-12,Keyboard,Accessories,8,1500,North
2025-04-20,Laptop,Electronics,4,65000,West
2025-05-10,Monitor,Electronics,3,12000,South
2025-05-25,Mouse,Accessories,20,500,North
2025-06-05,Laptop,Electronics,5,65000,East
2025-06-15,Keyboard,Accessories,12,1500,South
